episode,timestep,reward
43,1000,-17.1464
87,2000,-14.9123
130,3000,-11.3229
173,4000,-17.0433
223,5000,-14.4832
261,6000,-19.4159
304,7000,-20.2275
349,8000,-15.2936
397,9000,-13.3273
437,10000,-20.3429
483,11000,-15.3491
526,12000,-16.7469
574,13000,-11.7645
623,14000,-11.3773
672,15000,-7.9003
718,16000,-15.7923
759,17000,-22.7577
807,18000,-16.1923
850,19000,-16.3154
894,20000,-15.5
939,21000,-14.0676
984,22000,-17.865
1026,23000,-18.334
1071,24000,-15.1693
1119,25000,-13.3067
1163,26000,-15.5098
1212,27000,-11.7983
1259,28000,-14.6351
1307,29000,-10.2894
1364,30000,-8.243
1410,31000,-12.1156
1454,32000,-14.097
1507,33000,-9.0038
1555,34000,-13.0614
1600,35000,-14.181
1651,36000,-12.7145
1697,37000,-20.0496
1748,38000,-12.1512
1789,39000,-17.9081
1836,40000,-13.2638
1924,42000,-15.9176
1969,43000,-13.9631
2011,44000,-16.9075
2058,45000,-14.3902
2101,46000,-17.3273
2149,47000,-13.0734
2196,48000,-14.881
2238,49000,-14.7417
2285,50000,-17.265
2332,51000,-13.099
2373,52000,-16.9419
2420,53000,-13.0032
2468,54000,-12.0621
2517,55000,-11.8038
2561,56000,-18.6889
2606,57000,-13.3313
2653,58000,-11.9669
2698,59000,-18.148
2743,60000,-12.526
2790,61000,-17.4856
2830,62000,-20.1441
2869,63000,-20.0644
2915,64000,-11.7845
2961,65000,-14.5349
3001,66000,-20.1426
3051,67000,-9.5981
3095,68000,-14.9427
3137,69000,-15.769
3181,70000,-14.4511
3220,71000,-21.6669
3261,72000,-22.2183
3314,73000,-10.6554
3358,74000,-16.0236
3400,75000,-18.7459
3444,76000,-17.3243
3490,77000,-15.4708
3540,78000,-10.2266
3588,79000,-13.6808
3626,80000,-22.6482
3668,81000,-21.1201
3721,82000,-9.1536
3763,83000,-18.3345
3807,84000,-15.8171
3850,85000,-16.5282
3893,86000,-15.5931
3941,87000,-11.0022
3988,88000,-14.1267
