episode,timestep,reward
1,2000,-965771.4327
3,4000,-536900.1678
5,6000,-814843.6246
7,8000,-927802.357
9,10000,-814029.6962
11,12000,-1084063.8682
13,14000,-872789.7717
15,16000,-910412.8575
17,18000,-801387.2005
19,20000,-1051509.6213
21,22000,-653781.046
23,24000,-955974.1715
25,26000,-723363.1925
27,28000,-799681.0653
29,30000,-671804.6825
31,32000,-812418.8151
33,34000,-969672.2784
35,36000,-761553.8628
37,38000,-779457.0112
39,40000,-720124.2642
41,42000,-896168.1558
43,44000,-829053.1907
45,46000,-741907.8885
47,48000,-939127.2304
49,50000,-997054.0014
51,52000,-793020.8323
53,54000,-623139.7466
55,56000,-816071.6974
57,58000,-715399.2854
59,60000,-968704.528
61,62000,-559805.1011
63,64000,-802210.7603
65,66000,-863135.4433
67,68000,-890324.6603
69,70000,-710191.7443
71,72000,-844769.5639
73,74000,-716926.296
75,76000,-713422.5779
77,78000,-893131.6961
79,80000,-806925.4612
81,82000,-884380.1027
83,84000,-899934.6385
85,86000,-724091.7968
87,88000,-838379.1138
89,90000,-801710.033
91,92000,-763426.4931
93,94000,-1201045.411
95,96000,-683408.5417
97,98000,-958647.5123
99,100000,-918861.1793
101,102000,-823427.2289
103,104000,-817964.5883
105,106000,-714693.6524
107,108000,-862130.5042
109,110000,-1001800.1003
111,112000,-1054751.4592
113,114000,-741877.4767
115,116000,-708490.8502
117,118000,-549104.0156
119,120000,-1007277.0615
121,122000,-940331.2617
123,124000,-983537.6647
125,126000,-908517.2005
127,128000,-872551.0328
129,130000,-846617.5006
131,132000,-865561.1401
133,134000,-812661.2798
135,136000,-881608.3438
137,138000,-853230.1938
139,140000,-579329.0561
141,142000,-834659.706
143,144000,-926891.6536
145,146000,-828349.3782
147,148000,-855271.1271
149,150000,-637254.8496
151,152000,-866558.1516
153,154000,-580593.4045
155,156000,-681388.1352
157,158000,-1024317.1978
159,160000,-783230.3266
161,162000,-888779.6306
163,164000,-509195.8321
165,166000,-899007.9926
167,168000,-564223.5478
169,170000,-993890.1655
171,172000,-671579.3639
173,174000,-815373.3599
175,176000,-979119.4624
177,178000,-986646.2604
179,180000,-654995.1433
181,182000,-1062041.0083
183,184000,-912797.9401
185,186000,-1077588.8959
187,188000,-616184.9246
189,190000,-627840.3529
191,192000,-737500.2529
193,194000,-873148.4147
195,196000,-777485.7464
197,198000,-816216.6749
199,200000,-751693.824
201,202000,-663176.74
203,204000,-616028.6251
205,206000,-713781.1472
207,208000,-757838.1667
209,210000,-874382.7912
211,212000,-900852.1934
213,214000,-844987.6985
215,216000,-785247.9389
217,218000,-853002.6929
219,220000,-983597.526
221,222000,-746305.2779
223,224000,-783178.7396
225,226000,-647900.4888
227,228000,-961560.2123
229,230000,-681232.8095
231,232000,-847302.6444
233,234000,-631336.7987
235,236000,-574493.2629
237,238000,-892669.3356
239,240000,-1067784.6504
241,242000,-754961.1937
243,244000,-838275.7731
245,246000,-778563.9984
247,248000,-741933.0597
249,250000,-625353.4956
251,252000,-641183.7652
253,254000,-695347.9744
255,256000,-685681.4648
257,258000,-890619.3748
259,260000,-792858.9141
261,262000,-792001.7879
263,264000,-586518.1388
265,266000,-973938.9019
267,268000,-841422.3688
269,270000,-814378.5804
271,272000,-708039.4152
273,274000,-796793.2209
275,276000,-862172.4946
277,278000,-641033.2379
279,280000,-761234.4034
281,282000,-819143.2995
283,284000,-617091.3859
285,286000,-650052.8612
287,288000,-852016.489
289,290000,-782291.4621
291,292000,-612250.7377
293,294000,-1140969.6099
295,296000,-807271.02
297,298000,-558290.7623
299,300000,-793308.1557
301,302000,-932178.7564
303,304000,-590881.6504
305,306000,-705255.0221
307,308000,-584451.7235
309,310000,-766638.2072
311,312000,-698495.7589
313,314000,-648436.4674
315,316000,-781755.285
317,318000,-886391.4024
319,320000,-868308.6729
321,322000,-845998.3724
323,324000,-817804.1681
325,326000,-679826.6573
327,328000,-784913.1025
329,330000,-663102.0685
331,332000,-780464.9529
333,334000,-818342.3405
335,336000,-643779.0905
337,338000,-952722.8026
339,340000,-750753.1428
341,342000,-872899.1634
343,344000,-775294.3629
345,346000,-917346.3817
347,348000,-894424.7404
349,350000,-710191.6707
351,352000,-604541.2327
353,354000,-756237.1732
355,356000,-659913.7297
357,358000,-749244.8637
359,360000,-669541.3232
361,362000,-770616.5043
363,364000,-835832.9668
365,366000,-843453.6195
367,368000,-751839.8992
369,370000,-847312.7182
371,372000,-625657.2031
373,374000,-697455.7694
375,376000,-741930.5419
377,378000,-608404.3225
379,380000,-818579.4201
381,382000,-617597.5438
383,384000,-624565.5778
385,386000,-783568.0579
387,388000,-591158.2259
389,390000,-755951.7875
391,392000,-668991.444
393,394000,-582019.5945
395,396000,-811282.2308
397,398000,-722938.6313
399,400000,-819367.098
401,402000,-808912.4293
403,404000,-598691.5484
405,406000,-846770.8792
407,408000,-810710.2751
409,410000,-907196.0787
411,412000,-677051.5797
413,414000,-751368.7228
415,416000,-528347.0872
417,418000,-758597.2647
419,420000,-675828.0206
421,422000,-819716.986
423,424000,-779237.4081
425,426000,-720371.2916
427,428000,-685119.6488
429,430000,-612171.1326
431,432000,-599628.4179
433,434000,-662717.1976
435,436000,-885808.3588
437,438000,-688988.604
439,440000,-694992.1081
441,442000,-662869.4131
443,444000,-705514.6735
445,446000,-732130.9928
447,448000,-784191.5718
449,450000,-670254.8632
451,452000,-690953.0419
453,454000,-582486.287
455,456000,-869356.1847
457,458000,-752096.4844
459,460000,-662250.6976
461,462000,-556205.7784
463,464000,-680931.8918
465,466000,-699512.9348
467,468000,-717518.6301
469,470000,-749761.4364
471,472000,-591189.7665
473,474000,-745126.5932
475,476000,-559858.2239
477,478000,-719363.9653
479,480000,-639956.1994
481,482000,-560146.7408
483,484000,-659369.8368
485,486000,-649234.3673
487,488000,-407221.1765
489,490000,-667625.4398
491,492000,-564140.8162
493,494000,-578055.0135
495,496000,-647922.5934
497,498000,-504738.9545
499,500000,-703378.9541
501,502000,-657109.0447
503,504000,-674875.8153
505,506000,-698321.4538
507,508000,-665959.9474
509,510000,-605786.3336
511,512000,-514122.7412
513,514000,-702767.6209
515,516000,-621160.4112
517,518000,-759808.9408
519,520000,-666150.2063
521,522000,-593190.749
523,524000,-544094.9275
525,526000,-646263.498
527,528000,-574558.7181
529,530000,-547563.2806
531,532000,-620430.4986
533,534000,-653369.3874
535,536000,-761594.1174
537,538000,-651452.6781
539,540000,-698330.1437
541,542000,-644851.5455
543,544000,-463595.3483
545,546000,-599666.594
547,548000,-500674.6367
549,550000,-677529.0066
551,552000,-574005.775
553,554000,-491953.4163
555,556000,-549270.4775
557,558000,-716201.376
559,560000,-606377.2352
561,562000,-709745.3068
563,564000,-547675.0129
565,566000,-667313.6794
567,568000,-496197.6259
569,570000,-539163.5698
571,572000,-601183.0982
573,574000,-546039.4009
575,576000,-621813.8852
577,578000,-637860.0206
579,580000,-698644.5956
581,582000,-495704.6102
583,584000,-505133.9873
585,586000,-528418.4103
587,588000,-617390.9401
589,590000,-580568.0317
591,592000,-644810.4237
593,594000,-643639.9938
595,596000,-642925.809
597,598000,-653979.3085
599,600000,-614898.6039
601,602000,-588968.758
603,604000,-756600.0058
605,606000,-611017.2901
607,608000,-583567.398
609,610000,-551447.6038
611,612000,-542704.7231
613,614000,-544549.9274
615,616000,-576398.6968
617,618000,-617251.4005
619,620000,-597069.8921
621,622000,-475716.8967
623,624000,-527491.2011
625,626000,-590334.7937
627,628000,-492623.8601
629,630000,-550477.3335
631,632000,-548990.0546
633,634000,-432994.2417
635,636000,-592357.1689
637,638000,-465505.7788
639,640000,-549639.2274
641,642000,-554208.5152
643,644000,-524575.2124
645,646000,-643253.9619
647,648000,-365872.6181
649,650000,-460937.6291
651,652000,-457365.412
653,654000,-694854.7613
655,656000,-593289.6501
657,658000,-474168.5976
659,660000,-537553.6839
661,662000,-604437.7219
663,664000,-396484.112
665,666000,-569974.1186
667,668000,-523503.9608
669,670000,-535341.1221
671,672000,-592218.7439
673,674000,-552556.4116
675,676000,-647577.5466
677,678000,-520520.6003
679,680000,-509498.6671
681,682000,-482352.3348
683,684000,-628801.3462
685,686000,-710614.629
687,688000,-537702.1341
689,690000,-544954.4307
691,692000,-445061.8759
693,694000,-653507.0355
695,696000,-495393.8931
697,698000,-449701.7414
699,700000,-576578.8624
701,702000,-404959.5284
703,704000,-539005.8462
705,706000,-468270.9387
707,708000,-439074.4461
709,710000,-359253.408
711,712000,-417955.5478
713,714000,-408188.8445
715,716000,-465491.2861
717,718000,-400142.1566
719,720000,-454796.712
721,722000,-531749.2784
723,724000,-458675.3099
725,726000,-492050.6195
727,728000,-432379.0437
729,730000,-394664.7647
731,732000,-496787.1324
733,734000,-281430.1099
735,736000,-485323.3685
737,738000,-421900.6583
739,740000,-477782.3708
741,742000,-506837.3825
743,744000,-411107.1904
745,746000,-510855.8498
747,748000,-621523.0315
749,750000,-398985.2337
751,752000,-602062.4511
753,754000,-421978.1314
755,756000,-408172.6949
757,758000,-462982.4367
759,760000,-451948.3231
761,762000,-520394.2844
763,764000,-269914.4014
765,766000,-283246.0332
767,768000,-497756.7839
769,770000,-548056.2731
771,772000,-430923.1111
773,774000,-319466.2478
775,776000,-406123.5108
777,778000,-284481.2591
779,780000,-452117.3466
781,782000,-388172.8845
783,784000,-524919.6457
785,786000,-309975.2314
787,788000,-434902.6414
789,790000,-374556.9923
791,792000,-336687.3301
793,794000,-482465.1983
795,796000,-413443.3416
797,798000,-234367.4186
799,800000,-312167.7865
801,802000,-355486.531
803,804000,-263702.8508
805,806000,-450904.5247
807,808000,-303673.6573
809,810000,-445497.7254
811,812000,-190328.6361
813,814000,-400448.6906
815,816000,-377874.4344
817,818000,-379434.277
819,820000,-450406.4131
821,822000,-436816.3477
823,824000,-405713.9269
825,826000,-423609.0165
827,828000,-429963.7335
829,830000,-399906.8311
831,832000,-426739.4497
833,834000,-336313.9646
835,836000,-400584.2458
837,838000,-301459.1235
839,840000,-614893.2587
841,842000,-241270.8569
843,844000,-480616.0696
845,846000,-411229.9104
847,848000,-302841.9386
849,850000,-315124.8224
851,852000,-279609.9321
853,854000,-206438.4504
855,856000,-74936.4786
857,858000,-195067.4563
859,860000,-422400.3947
861,862000,-369284.316
863,864000,-523825.314
865,866000,-172007.5234
867,868000,-247187.6274
869,870000,-429258.2913
871,872000,-176434.315
873,874000,-152142.4686
875,876000,-392514.4362
877,878000,-400962.6439
879,880000,-395904.0244
881,882000,-391063.1164
883,884000,-561807.0001
885,886000,-465721.7148
887,888000,-240560.8545
889,890000,-432186.5926
891,892000,-249900.2895
893,894000,-265702.0297
895,896000,-356084.8445
897,898000,-475827.0465
899,900000,-307147.0563
901,902000,-213390.8454
903,904000,-272769.8126
905,906000,-328005.0102
907,908000,-252023.744
909,910000,-334632.2362
911,912000,-481454.75
913,914000,-259366.3752
915,916000,-321614.8387
917,918000,-212148.5615
919,920000,-430848.9897
921,922000,-241027.9014
923,924000,-417239.1299
925,926000,-268984.6891
927,928000,-258998.5071
929,930000,-229530.4457
931,932000,-232705.839
933,934000,-431834.7231
935,936000,-412173.691
937,938000,-295076.3647
939,940000,-481653.5451
941,942000,-367008.3566
943,944000,-206735.6206
945,946000,-440456.6714
947,948000,-321219.976
949,950000,-172330.7458
951,952000,-332684.336
953,954000,-348363.2173
955,956000,-276574.8304
957,958000,-436803.6928
959,960000,-420350.669
961,962000,-353874.5028
963,964000,-380544.4194
965,966000,-336864.3501
967,968000,-230880.6093
969,970000,-258121.3638
971,972000,-284567.3224
973,974000,-391112.6978
975,976000,-196504.8206
977,978000,-306280.4438
979,980000,-41405.5135
981,982000,-115021.2732
983,984000,-326484.1017
985,986000,-183490.2709
987,988000,-417137.6289
989,990000,-404496.109
991,992000,-294548.5331
993,994000,-358970.2217
995,996000,-256994.9117
997,998000,-386951.9746
999,1000000,-334730.7144
1001,1002000,-447536.5681
1003,1004000,-96307.0775
1005,1006000,-246267.884
1007,1008000,-301047.7867
1009,1010000,-131708.9913
1011,1012000,-395034.5146
1013,1014000,-194292.1994
1015,1016000,-241810.0038
1017,1018000,-358576.6685
1019,1020000,-210824.889
1021,1022000,-248596.6227
1023,1024000,-336789.9965
1025,1026000,-300869.314
1027,1028000,-338695.9737
1029,1030000,-239290.2883
1031,1032000,-429401.6205
1033,1034000,-269268.1812
1035,1036000,-291029.5301
1037,1038000,-378105.2139
1039,1040000,-431920.5099
1041,1042000,-343152.5242
1043,1044000,-349561.9675
1045,1046000,-344265.7382
1047,1048000,-277158.6985
1049,1050000,-224505.2961
1051,1052000,-355177.2743
1053,1054000,-386311.5899
1055,1056000,-307772.5943
1057,1058000,-281880.4891
1059,1060000,-167359.4984
1061,1062000,-362888.7672
1063,1064000,-189633.6343
1065,1066000,-182141.2711
1067,1068000,-172204.7127
1069,1070000,-288047.2679
1071,1072000,-295242.4706
1073,1074000,-227510.2127
1075,1076000,-355279.3218
1077,1078000,-314025.2943
1079,1080000,-332021.9791
1081,1082000,-246087.362
1083,1084000,-201342.6348
