episode,timestep,reward
1,1000,-2011.8589
3,2000,-1865.2305
5,3000,-2230.201
7,4000,-1876.5516
9,5000,-1912.3941
11,6000,-1580.1982
13,7000,-1126.5935
15,8000,-1372.3043
17,9000,-1616.421
19,10000,-1565.4106
21,11000,-1731.7883
23,12000,-1633.6888
25,13000,-1907.3572
27,14000,-1665.1293
29,15000,-1857.9937
31,16000,-1847.7052
33,17000,-1486.393
35,18000,-1404.748
37,19000,-1345.7215
39,20000,-1652.5989
41,21000,-1258.0441
43,22000,-1651.1591
45,23000,-1876.2046
47,24000,-1727.0522
49,25000,-1291.5373
51,26000,-933.3893
53,27000,-785.1997
55,28000,-718.9164
57,29000,-571.4281
59,30000,-750.3768
61,31000,-459.9334
63,32000,-315.056
65,33000,-310.6051
67,34000,-347.6877
69,35000,-401.5955
71,36000,-93.7839
73,37000,-244.7626
75,38000,-356.2995
77,39000,-211.0214
79,40000,-160.4965
81,41000,-62.8672
83,42000,-194.2228
85,43000,-204.9308
87,44000,-194.3298
89,45000,-210.0167
91,46000,-140.3844
93,47000,-260.4662
95,48000,-89.2399
97,49000,-74.142
99,50000,-172.209
101,51000,-39.5844
103,52000,-73.1043
105,53000,-91.8347
107,54000,-92.6676
109,55000,139.229
111,56000,159.4449
113,57000,140.9911
115,58000,272.3721
117,59000,81.3154
119,60000,217.5416
121,61000,267.2043
