episode,timestep,reward
13,1000,-7281.4849
29,2000,-6420.5661
47,3000,-5351.2479
64,4000,-5967.3248
87,5000,-4343.6951
111,6000,-4115.1226
139,7000,-3506.5186
165,8000,-3776.6111
194,9000,-3399.8321
226,10000,-3147.5587
258,11000,-3028.9289
291,12000,-3008.967
327,13000,-2766.9407
364,14000,-2703.7321
402,15000,-2573.1342
441,16000,-2581.2602
482,17000,-2432.5924
522,18000,-2439.6858
564,19000,-2391.808
606,20000,-2387.0934
647,21000,-2406.6233
689,22000,-2389.5309
730,23000,-2399.1053
770,24000,-2463.5433
812,25000,-2382.5702
853,26000,-2431.9986
895,27000,-2361.2959
937,28000,-2371.8023
979,29000,-2378.4874
1020,30000,-2430.4396
1061,31000,-2402.1047
1103,32000,-2385.4609
1145,33000,-2359.6788
1187,34000,-2397.3294
1229,35000,-2382.6606
1270,36000,-2404.0547
1311,37000,-2390.8162
1353,38000,-2373.7762
1395,39000,-2378.3382
1437,40000,-2360.2855
1479,41000,-2420.2145
1521,42000,-2369.4139
1562,43000,-2388.0179
1604,44000,-2394.1058
1645,45000,-2396.4887
1687,46000,-2406.1389
1728,47000,-2424.114
1769,48000,-2403.4261
1810,49000,-2401.1438
1851,50000,-2437.648
1892,51000,-2430.1234
1933,52000,-2430.3054
1974,53000,-2437.5833
2017,54000,-2311.1248
2058,55000,-2409.2625
2100,56000,-2377.7249
2141,57000,-2411.7357
2183,58000,-2366.6883
2225,59000,-2367.2967
2267,60000,-2375.7713
2308,61000,-2430.8307
2350,62000,-2352.1503
2392,63000,-2405.8645
2433,64000,-2420.8048
2475,65000,-2355.3776
2517,66000,-2399.0031
2558,67000,-2399.4159
2600,68000,-2380.1557
2642,69000,-2369.6647
2684,70000,-2368.7357
2725,71000,-2382.9701
2766,72000,-2424.0254
2808,73000,-2390.2092
2850,74000,-2403.41
2892,75000,-2340.7984
2934,76000,-2373.1951
2976,77000,-2389.7245
3017,78000,-2413.6672
3059,79000,-2366.5247
3101,80000,-2380.4222
3142,81000,-2387.7979
3184,82000,-2404.5344
3225,83000,-2386.6246
3266,84000,-2435.0082
