episode,timestep,reward
1,2000,nan
3,4000,nan
5,6000,nan
7,8000,nan
9,10000,nan
11,12000,nan
13,14000,nan
15,16000,nan
17,18000,nan
19,20000,nan
21,22000,nan
23,24000,nan
25,26000,nan
27,28000,nan
29,30000,nan
31,32000,nan
33,34000,nan
35,36000,nan
37,38000,nan
39,40000,nan
41,42000,nan
43,44000,nan
45,46000,nan
47,48000,nan
49,50000,nan
51,52000,nan
53,54000,nan
55,56000,nan
57,58000,nan
59,60000,nan
61,62000,nan
63,64000,nan
65,66000,nan
67,68000,nan
69,70000,nan
71,72000,nan
73,74000,nan
75,76000,nan
77,78000,nan
79,80000,nan
81,82000,nan
83,84000,nan
85,86000,nan
87,88000,nan
89,90000,nan
91,92000,nan
93,94000,nan
95,96000,nan
97,98000,nan
99,100000,nan
101,102000,nan
103,104000,nan
105,106000,nan
107,108000,nan
109,110000,nan
111,112000,nan
113,114000,nan
115,116000,nan
117,118000,nan
119,120000,nan
121,122000,nan
123,124000,nan
125,126000,nan
127,128000,nan
129,130000,nan
131,132000,nan
133,134000,nan
135,136000,nan
137,138000,nan
139,140000,nan
141,142000,nan
143,144000,nan
145,146000,nan
147,148000,nan
149,150000,nan
151,152000,nan
153,154000,nan
155,156000,nan
157,158000,nan
159,160000,nan
161,162000,nan
163,164000,nan
165,166000,nan
167,168000,nan
169,170000,nan
171,172000,nan
173,174000,nan
175,176000,nan
177,178000,nan
179,180000,nan
181,182000,nan
183,184000,nan
185,186000,nan
187,188000,nan
189,190000,nan
191,192000,nan
193,194000,nan
195,196000,nan
197,198000,nan
199,200000,nan
201,202000,nan
203,204000,nan
205,206000,nan
207,208000,nan
209,210000,nan
211,212000,nan
213,214000,nan
215,216000,nan
217,218000,nan
219,220000,nan
221,222000,nan
223,224000,nan
225,226000,nan
227,228000,nan
229,230000,nan
231,232000,nan
233,234000,nan
235,236000,nan
237,238000,nan
239,240000,nan
241,242000,nan
243,244000,nan
245,246000,nan
247,248000,nan
249,250000,nan
251,252000,nan
253,254000,nan
255,256000,nan
257,258000,nan
259,260000,nan
261,262000,nan
263,264000,nan
265,266000,nan
267,268000,nan
269,270000,nan
271,272000,nan
273,274000,nan
275,276000,nan
277,278000,nan
279,280000,nan
281,282000,nan
283,284000,nan
285,286000,nan
287,288000,nan
289,290000,nan
291,292000,nan
293,294000,nan
295,296000,nan
297,298000,nan
299,300000,nan
301,302000,nan
303,304000,nan
305,306000,nan
307,308000,nan
309,310000,nan
311,312000,nan
313,314000,nan
315,316000,nan
317,318000,nan
319,320000,nan
321,322000,nan
323,324000,nan
