episode,timestep,reward
36,1000,-7.1335
82,2000,-8.7266
118,3000,-6.232
162,4000,-4.6926
206,5000,-3.5004
247,6000,-4.9569
289,7000,-3.4823
326,8000,-8.8073
379,9000,-2.8865
416,10000,-6.5847
454,11000,-4.5721
502,12000,-2.2219
544,13000,-2.6125
594,14000,-2.1679
646,15000,-1.9397
694,16000,-1.861
738,17000,-1.7725
779,18000,-1.992
824,19000,-1.6622
866,20000,-1.8277
915,21000,-1.6829
958,22000,-1.6226
999,23000,-1.6961
1042,24000,-1.6163
1089,25000,-1.6571
1129,26000,-1.6666
1174,27000,-1.6024
1230,28000,-1.5385
1272,29000,-1.6625
1319,30000,-1.5694
1369,31000,-1.564
1418,32000,-1.5256
1458,33000,-1.5873
1503,34000,-1.5715
1553,35000,-1.4937
1592,36000,-1.5673
1641,37000,-1.5472
1687,38000,-1.5082
1735,39000,-1.4529
1772,40000,-1.6049
1816,41000,-1.5597
1855,42000,-1.5312
1900,43000,-1.5895
1948,44000,-1.5742
1988,45000,-1.6357
2030,46000,-1.5668
2076,47000,-1.5907
2121,48000,-1.5633
2162,49000,-1.5424
2204,50000,-1.573
2250,51000,-1.596
2295,52000,-1.5693
2332,53000,-1.5593
2373,54000,-1.6436
2412,55000,-1.6539
2462,56000,-1.5895
2509,57000,-1.5803
2552,58000,-1.5435
2595,59000,-1.5796
2637,60000,-1.5151
2679,61000,-1.5082
2722,62000,-1.5415
2774,63000,-1.5227
2814,64000,-1.6104
2850,65000,-1.641
2889,66000,-1.6383
2933,67000,-1.5873
2976,68000,-1.5905
3020,69000,-1.6155
3066,70000,-1.6304
3105,71000,-1.5229
3147,72000,-1.5626
3184,73000,-1.6302
