Episode,Timestep,Average Reward
219,5000,-7.87
425,10000,-7.38
652,15000,-3.81
867,20000,-3.47
1089,25000,-1.83
1319,30000,-1.65
1555,35000,-1.56
1771,40000,-1.54
1989,45000,-1.59
2207,50000,-1.56
2417,55000,-1.58
2641,60000,-1.57
2852,65000,-1.56
3069,70000,-1.6
3262,75000,-1.57
3483,80000,-1.53
3696,85000,-1.55
3910,90000,-1.56
4129,95000,-1.59
4342,100000,-1.57
4569,105000,-1.58
4795,110000,-1.57
5001,115000,-1.59
5230,120000,-1.55
5459,125000,-1.59
5683,130000,-1.58
5889,135000,-1.59
6114,140000,-1.55
6337,145000,-1.59
6565,150000,-1.56
6766,155000,-1.58
6981,160000,-1.58
7218,165000,-1.54
7430,170000,-1.58
7629,175000,-1.57
7832,180000,-1.59
8050,185000,-1.56
8272,190000,-1.56
8489,195000,-1.55
8705,200000,-1.54
8908,205000,-1.59
9139,210000,-1.54
9359,215000,-1.55
9578,220000,-1.56
9767,225000,-1.57
9987,230000,-1.57
10206,235000,-1.55
10428,240000,-1.58
10655,245000,-1.52
10876,250000,-1.59
11104,255000,-1.55
11329,260000,-1.56
11558,265000,-1.52
11788,270000,-1.51
11985,275000,-1.6
12216,280000,-1.53
12450,285000,-1.51
12686,290000,-1.55
12905,295000,-1.56
13121,300000,-1.53
13331,305000,-1.56
13542,310000,-1.57
13749,315000,-1.56
13957,320000,-1.58
14175,325000,-1.56
14382,330000,-1.58
14598,335000,-1.56
14818,340000,-1.54
15033,345000,-1.55
15262,350000,-1.55
15466,355000,-1.58
15688,360000,-1.57
15905,365000,-1.56
16125,370000,-1.56
16345,375000,-1.56
16575,380000,-1.51
16811,385000,-1.52
17014,390000,-1.58
17229,395000,-1.53
17456,400000,-1.54
17667,405000,-1.56
17907,410000,-1.54
18130,415000,-1.53
18358,420000,-1.55
18580,425000,-1.57
18784,430000,-1.55
18999,435000,-1.56
19227,440000,-1.55
19431,445000,-1.55
19637,450000,-1.55
19869,455000,-1.54
20097,460000,-1.55
20294,465000,-1.56
20510,470000,-1.53
20719,475000,-1.55
20949,480000,-1.53
21153,485000,-1.61
21358,490000,-1.54
21579,495000,-1.53
21979,505000,-1.56
22192,510000,-1.57
22390,515000,-1.56
22616,520000,-1.56
22851,525000,-1.55
23065,530000,-1.53
23266,535000,-1.53
23482,540000,-1.53
23696,545000,-1.55
23919,550000,-1.54
24126,555000,-1.55
24350,560000,-1.52
24569,565000,-1.54
24781,570000,-1.55
25003,575000,-1.54
25224,580000,-1.51
25452,585000,-1.51
25683,590000,-1.52
25899,595000,-1.57
26115,600000,-1.52
26328,605000,-1.54
26547,610000,-1.52
26765,615000,-1.56
26995,620000,-1.49
27226,625000,-1.53
27445,630000,-1.54
27681,635000,-1.53
27897,640000,-1.53
28113,645000,-1.56

