Episode,timestep,reward
414,5000,-114.31
833,10000,-28.17
1255,15000,-25.34
1688,20000,-23.15
2103,25000,-24.85
2522,30000,-23.71
2915,35000,-24.54
3703,45000,-23.77
4088,50000,-22.66
4477,55000,-21.81
4859,60000,-21.1
5242,65000,-21.44
5620,70000,-20.68
6005,75000,-20.45
6393,80000,-20.44
6762,85000,-21.11
7133,90000,-21.08
7501,95000,-20.61
7857,100000,-20.48
8236,105000,-19.95
8593,110000,-21.25
8953,115000,-20.06
9691,125000,-20.72
10035,130000,-20.33
10405,135000,-19.71
10778,140000,-19.31
11151,145000,-19.56
11518,150000,-18.95
11890,155000,-19.12
12248,160000,-19.76
12628,165000,-18.08
12983,170000,-20.09
13352,175000,-20.28
13712,180000,-20.16
14060,185000,-20.59
14414,190000,-21.14
14780,195000,-19.29
15129,200000,-20.45
15495,205000,-19.69
15850,210000,-19.6
16198,215000,-19.98
16567,220000,-18.71
16934,225000,-18.6
17288,230000,-19.62
17658,235000,-19.11
18032,240000,-18.67
18394,245000,-18.45
18731,250000,-20.37
19098,255000,-18.78
19440,260000,-19.62
19805,265000,-18.98
20153,270000,-19.03
20499,275000,-20.13
21191,285000,-19.93
21546,290000,-19.29
21876,295000,-20.71
22224,300000,-19.47
22926,310000,-19.19
23614,320000,-19.75
23965,325000,-18.85
24310,330000,-19.28
24672,335000,-18.59
25012,340000,-19.42
25378,345000,-18.12
25733,350000,-18.53
26075,355000,-18.87
26423,360000,-18.43
26772,365000,-19.59
27135,370000,-18.12
27495,375000,-17.69
27857,380000,-18.77
28208,385000,-18.45
28538,390000,-20.21
28924,395000,-17.21
29279,400000,-18.88
29624,405000,-18.06
29991,410000,-17.71
30333,415000,-19.1
30685,420000,-17.67
31027,425000,-18.63
31382,430000,-18.12
31728,435000,-18.72
32066,440000,-20.15
32417,445000,-18.04
32791,450000,-18.27
33135,455000,-19.63
33481,460000,-18.96
33816,465000,-19.86
34181,470000,-18.15
34882,480000,-18.5
35232,485000,-19.15
35575,490000,-18.68
36620,505000,-18.93
36975,510000,-18.13
37317,515000,-18.83
37638,520000,-19.94
38320,530000,-18.79
38675,535000,-18.48
39364,545000,-18.47
39726,550000,-18.25
40066,555000,-19.13
40387,560000,-19.9
40751,565000,-17.95
