Episode,timestep,reward
87813,90000,8.73
89975,95000,7.28
99951,115000,8.53
109880,135000,8.7
112380,140000,8.79
114880,145000,8.84
117380,150000,8.86
119880,155000,8.89
132301,180000,8.95
134763,185000,9.11
137232,190000,9.13
139732,195000,9.18
142214,200000,9.15
157053,230000,9.15
159493,235000,8.76
163807,245000,8.64
167144,255000,8.74
168811,260000,8.61
172144,270000,9.15
173961,275000,9.43
178981,290000,9.61
180652,295000,9.62
182418,300000,9.58
184098,305000,9.63
189065,315000,9.27
190735,320000,9.64
194450,330000,9.54
201464,345000,9.31
204798,355000,9.73
208132,365000,9.85
209801,370000,10.0
211477,375000,10.01
213172,380000,9.96
214861,385000,10.19
218194,395000,10.44
219861,400000,10.47
221528,405000,10.46
228342,425000,10.4
231678,435000,10.49
233346,440000,10.48
236696,450000,10.45
238363,455000,10.49
240031,460000,10.48
241702,465000,10.46
245066,475000,10.15
246733,480000,10.47
250066,490000,10.6
251733,495000,10.55
255066,505000,10.57
256733,510000,10.77
260066,520000,10.65
261733,525000,10.41
265066,535000,10.65
266733,540000,10.57
270066,550000,10.69
271733,555000,10.69
275066,565000,10.71
276733,570000,10.57
280066,580000,10.78
281733,585000,10.73
285066,595000,10.77
286733,600000,10.73
290066,610000,10.75
291733,615000,10.71
293399,620000,10.6
296868,630000,10.38
298535,635000,10.78
301868,645000,10.83
303535,650000,10.83
306868,660000,10.8
308535,665000,10.72
311868,675000,10.82
313535,680000,10.8
316868,690000,10.8
318535,695000,10.82
321868,705000,10.85
323535,710000,10.87
326868,720000,10.88
328535,725000,10.88
331868,735000,10.88
333535,740000,10.88
336868,750000,10.88
338535,755000,10.88
341868,765000,10.88
343535,770000,10.88
346868,780000,10.87
348535,785000,10.87
351868,795000,10.87
353535,800000,10.87
356868,810000,10.87
358535,815000,10.87
361868,825000,10.86
363535,830000,10.87
366868,840000,10.86
368535,845000,10.86
371868,855000,10.85
373535,860000,10.86
376868,870000,10.76
378609,875000,10.36
380276,880000,10.59
383609,890000,10.79
385276,895000,10.83
388609,905000,10.82
390276,910000,10.84
393609,920000,10.84
395276,925000,10.82
398609,935000,10.75
400276,940000,10.6
403609,950000,10.87
405276,955000,10.85
408609,965000,10.84
410276,970000,10.84
413609,980000,10.84
415276,985000,10.83
418609,995000,10.79
420276,1000000,10.77
423609,1010000,10.85
425276,1015000,10.85
428609,1025000,10.83
431940,1035000,10.72
435273,1045000,10.68
436940,1050000,10.78
440273,1060000,10.78
441940,1065000,10.85
445273,1075000,10.77
446940,1080000,10.84
450273,1090000,10.75
451910,1095000,10.54
453577,1100000,10.77

