 Episode,Timestep,Average Reward
 1166,5000, -777.34
 2357,10000, -673.1
 3550,15000, -669.14
 4750,20000, -668.29
 7192,30000, -661.99
 8424,35000, -654.9
 10880,45000, -653.41
 12113,50000, -648.29
 13342,55000, -650.49
 14573,60000, -648.59
 17039,70000, -647.92
 18272,75000, -647.57
 19503,80000, -648.28
 20738,85000, -646.04
 21971,90000, -647.52
 23212,95000, -643.62
 25687,105000, -644.74
 26922,110000, -645.36
 28161,115000, -643.73
 29397,120000, -644.17
 30632,125000, -645.56
 31873,130000, -641.53
 34353,140000, -641.96
 35594,145000, -642.15
 36837,150000, -640.35
 38077,155000, -641.24
 39319,160000, -640.62
 43046,175000, -640.03
 44289,180000, -639.02
 45530,185000, -640.0
 49260,200000, -639.29
 50505,205000, -638.15
 51748,210000, -638.82
 52991,215000, -639.12
 54234,220000, -638.88
 55477,225000, -638.43
 56723,230000, -637.66
 59209,240000, -638.27
 61696,250000, -638.19
 62938,255000, -638.32
 64184,260000, -637.58
 67913,275000, -638.3
 70402,285000, -638.52
 71647,290000, -637.56
 74137,300000, -637.4
 76625,310000, -637.59
 77870,315000, -637.84
 79114,320000, -637.73
 80360,325000, -637.17
 81603,330000, -638.02
 82847,335000, -638.3
 84093,340000, -636.95
 85338,345000, -637.61
 86583,350000, -637.68
 90316,365000, -637.62
 91562,370000, -636.9
 94054,380000, -636.87
 95300,385000, -636.73
 96542,390000, -638.49
 100275,405000, -637.15
 101520,410000, -636.74
 102767,415000, -636.56
 104014,420000, -636.33
 105259,425000, -636.71
 107750,435000, -637.01
 108996,440000, -637.15
 110240,445000, -636.71
 111485,450000, -637.22
 113976,460000, -637.13
 116467,470000, -636.68
 117711,475000, -636.76
 118955,480000, -636.91
 122691,495000, -636.85
 123936,500000, -637.11
 125182,505000, -636.83
 126426,510000, -637.82
 128917,520000, -636.82
 130163,525000, -635.67
 131408,530000, -636.63
 132653,535000, -636.25
 133901,540000, -636.37
 136394,550000, -636.15
 137641,555000, -636.41
 138886,560000, -636.25
 140133,565000, -636.24
 142623,575000, -636.76
 143870,580000, -635.69
 145115,585000, -636.66
 146361,590000, -636.54
 148849,600000, -637.07
 150093,605000, -637.31
 151338,610000, -636.10
 152586,615000, -636.02
 153829,620000, -637.27
 155076,625000, -635.69
 156322,630000, -635.81
 158816,640000, -635.74
 161308,650000, -636.54
 163799,660000, -636.51
 165043,665000, -637.47
 166289,670000, -636.26
 167533,675000, -637.12
