episode,timestep,reward
1,1000,-0.8828
3,2000,-0.8617
5,3000,-0.8601
7,4000,-0.86
9,5000,-0.86
11,6000,-0.86
13,7000,-0.86
15,8000,-0.86
17,9000,-0.86
19,10000,-0.86
21,11000,-0.86
23,12000,-0.86
25,13000,-0.86
27,14000,-0.86
29,15000,-0.86
31,16000,-0.86
33,17000,-0.86
35,18000,-0.86
37,19000,-0.86
39,20000,-0.86
41,21000,-0.86
43,22000,-0.86
45,23000,-0.86
47,24000,-0.86
49,25000,-0.8601
51,26000,-0.86
53,27000,-0.8601
55,28000,-0.8601
57,29000,-0.8601
59,30000,-0.8604
61,31000,-0.8603
63,32000,-0.8603
65,33000,-0.8604
67,34000,-0.8605
69,35000,-0.8613
71,36000,-0.8604
73,37000,-0.8608
75,38000,-0.861
77,39000,-0.8631
79,40000,-0.8622
81,41000,-0.8614
83,42000,-0.8625
85,43000,-0.8618
87,44000,-0.8618
89,45000,-0.8616
91,46000,-0.8607
93,47000,-0.8619
95,48000,-0.8644
97,49000,-0.8613
99,50000,-0.8611
101,51000,-0.8613
103,52000,-0.8609
105,53000,-0.8618
107,54000,-0.8618
109,55000,-0.8619
