episode,timestep,reward
5,1000,-0.1759
8,2000,-0.1766
11,3000,-0.178
17,4000,-0.1748
21,5000,-0.1302
24,6000,-0.1554
28,7000,-0.153
30,8000,-0.09
36,9000,-0.1458
41,10000,-0.1761
45,11000,-0.1767
47,12000,-0.1487
51,13000,-0.1621
55,14000,-0.1384
59,15000,-0.1717
63,16000,-0.1787
68,17000,-0.1542
74,18000,-0.1757
76,19000,-0.1769
84,20000,-0.1625
91,21000,-0.1776
95,22000,-0.1766
99,23000,-0.1467
102,24000,-0.1358
104,25000,-0.168
111,26000,-0.1762
114,27000,-0.178
118,28000,-0.1565
122,29000,-0.1769
125,30000,-0.1367
130,31000,-0.1775
134,32000,-0.1359
138,33000,-0.178
141,34000,-0.1215
148,35000,-0.1742
153,36000,-0.1753
158,37000,-0.1773
161,38000,-0.1193
164,39000,-0.1163
167,40000,-0.1157
170,41000,-0.1686
173,42000,-0.1431
175,43000,-0.0931
179,44000,-0.1412
184,45000,-0.1429
187,46000,-0.1252
191,47000,-0.1734
194,48000,-0.1788
199,49000,-0.1245
203,50000,-0.1585
209,51000,-0.18
212,52000,-0.1795
217,53000,-0.1805
222,54000,-0.1801
225,55000,-0.1795
228,56000,-0.1214
232,57000,-0.1802
236,58000,-0.1218
239,59000,-0.1805
244,60000,-0.1799
251,61000,-0.1799
260,62000,-0.1796
265,63000,-0.1444
268,64000,-0.1686
271,65000,-0.1103
277,66000,-0.1798
280,67000,-0.1175
284,68000,-0.1804
288,69000,-0.1798
291,70000,-0.1502
295,71000,-0.0945
300,72000,-0.178
304,73000,-0.1805
311,74000,-0.143
318,75000,-0.1787
321,76000,-0.1792
325,77000,-0.1802
328,78000,-0.1794
332,79000,-0.1725
334,80000,-0.0034
338,81000,-0.1406
342,82000,-0.1311
345,83000,-0.1564
350,84000,-0.18
354,85000,-0.1787
359,86000,-0.1788
365,87000,-0.1802
369,88000,-0.1543
372,89000,-0.1794
377,90000,-0.1437
381,91000,-0.178
384,92000,-0.1797
393,93000,-0.1642
398,94000,-0.1791
403,95000,-0.1796
408,96000,-0.1549
