Episode,Timestep,Average Reward
9,5000,-2007.7
19,10000,-1747.44
29,15000,-1858.07
39,20000,-1370.25
49,25000,-1703.79
59,30000,-1377.78
69,35000,-1440.36
79,40000,-1309.27
89,45000,-1128.56
99,50000,-742.26
109,55000,-984.96
119,60000,-612.33
129,65000,-488.19
139,70000,-346.53
149,75000,-196.39
159,80000,80.64
169,85000,316.38
179,90000,510.14
189,95000,673.16
199,100000,965.35
209,105000,1039.29
219,110000,963.43
229,115000,1128.4
239,120000,1146.43
249,125000,1113.19
259,130000,1211.27
269,135000,1197.23
279,140000,1067.27
289,145000,1308.05
299,150000,1412.19
309,155000,1483.36
319,160000,1482.86
329,165000,1621.92
339,170000,1480.03
349,175000,1607.1
359,180000,1682.61
369,185000,1743.71
379,190000,1732.67
389,195000,1899.73
399,200000,1796.22
409,205000,2060.94
419,210000,2101.17
429,215000,2095.03
439,220000,2063.51
449,225000,2085.53
459,230000,2142.14
469,235000,2173.24
479,240000,2091.65
489,245000,2236.9
499,250000,2180.22
509,255000,2329.04
519,260000,2309.93
529,265000,2402.6
539,270000,2405.84
549,275000,2462.55
559,280000,2497.27
569,285000,2513.3
579,290000,2536.88
589,295000,2558.8
599,300000,2416.01
609,305000,2417.43
619,310000,2374.73
629,315000,2405.64
639,320000,2439.41
649,325000,2408.54
659,330000,2481.73
669,335000,2584.61
679,340000,2595.47
689,345000,2621.58
699,350000,2639.7
709,355000,2671.74
719,360000,2597.04
729,365000,2535.1
739,370000,2581.07
749,375000,2605.1
759,380000,2549.66
769,385000,2528.85
779,390000,2564.69
789,395000,2592.39
799,400000,2598.1
809,405000,2633.14
819,410000,2616.71
829,415000,2653.38
839,420000,2452.31
849,425000,2578.43
859,430000,2435.62
869,435000,2546.94
879,440000,2577.52
889,445000,2524.2
899,450000,2512.58
909,455000,2603.64
919,460000,2459.76
929,465000,2342.99
939,470000,2328.34
949,475000,2435.68
959,480000,2510.09
969,485000,2572.44
979,490000,2470.97
989,495000,2527.51
1009,505000,2581.93
1019,510000,2685.2
1029,515000,2699.62
1039,520000,2738.89
1049,525000,2763.66
1059,530000,2675.32
1069,535000,2710.26
1079,540000,2621.73
1089,545000,2679.02
1099,550000,2665.4
1109,555000,2771.55
1119,560000,2706.16
1129,565000,2794.52
1139,570000,2808.27
1149,575000,2837.07
1159,580000,2747.69
1169,585000,2837.5
1179,590000,2742.04
1189,595000,2784.06
1199,600000,2672.23
1209,605000,2859.88
1219,610000,2852.76
1229,615000,2907.84
1239,620000,2826.19
1249,625000,2867.03
1259,630000,2875.41
1269,635000,2894.6
1279,640000,2877.87
1289,645000,2778.6
1299,650000,2892.16
1309,655000,2904.62
1319,660000,2808.06
1329,665000,2905.09
1339,670000,2951.3
1349,675000,2898.83
1359,680000,2880.85
1369,685000,2846.06
1379,690000,2962.58
1389,695000,2954.86
1399,700000,3059.77
1409,705000,2987.86
1419,710000,3045.16
1429,715000,3088.01
1439,720000,2995.61
1449,725000,3016.04
1459,730000,2921.22
1469,735000,2995.07
1479,740000,3038.6
1489,745000,2995.72
1499,750000,2930.19
1509,755000,3035.53
1519,760000,3049.46
1529,765000,3017.51
1539,770000,3014.59
1549,775000,3073.95
1559,780000,3101.22
1569,785000,3127.0
1579,790000,2992.45
1589,795000,3107.88
1599,800000,2956.17
1609,805000,3057.17
1619,810000,2898.85
1629,815000,3076.81
1639,820000,2977.82
1649,825000,3077.5
1659,830000,3029.89
1669,835000,2945.26
1679,840000,3027.59
1689,845000,2974.52
1699,850000,2829.05
1709,855000,2864.22
1719,860000,2959.68
1729,865000,2938.67
1739,870000,2902.91
1749,875000,2775.66
1759,880000,2870.39
1769,885000,2945.32
1779,890000,2765.04
1789,895000,2932.07
1799,900000,2896.63
1809,905000,2910.03
1819,910000,2951.32
1829,915000,3014.36
1839,920000,2975.61
1849,925000,2722.98
1859,930000,2766.96
1869,935000,2890.46
1879,940000,2820.52
1889,945000,2680.85
1899,950000,2763.18
1909,955000,2651.05
1919,960000,2676.94
1929,965000,2859.78
1939,970000,2871.41
1949,975000,2821.55
1959,980000,2733.07
1969,985000,2674.11
1979,990000,2722.89
1989,995000,2764.47
2009,1005000,2901.74
2019,1010000,2609.3
2029,1015000,2776.56
2039,1020000,2816.56
2049,1025000,2813.56
2059,1030000,2796.28
2069,1035000,2900.57
2079,1040000,2890.03
2089,1045000,2725.99
2099,1050000,2818.49
2109,1055000,2839.16
2119,1060000,2778.65
2129,1065000,2790.78
2139,1070000,2653.47
2149,1075000,2776.16
2159,1080000,2894.17
2169,1085000,2843.53
2179,1090000,2813.18
2189,1095000,2874.93
2199,1100000,2847.66
2209,1105000,2931.16
2219,1110000,2837.58
2229,1115000,2709.02
2239,1120000,2810.0
2249,1125000,2925.48
2259,1130000,2889.44
2269,1135000,2564.03
2279,1140000,2470.98
2289,1145000,2662.51
2299,1150000,2620.35
2309,1155000,2665.47
2319,1160000,2515.33
2329,1165000,2773.81
2339,1170000,2728.8
2349,1175000,2596.16
2359,1180000,2687.8
2369,1185000,2795.43
2379,1190000,2661.41
2389,1195000,2740.21
2399,1200000,2814.61
2409,1205000,2886.28
2419,1210000,2919.72
2429,1215000,2911.19
2439,1220000,2750.36
2449,1225000,2801.25
2459,1230000,2779.06
2469,1235000,2870.53
2479,1240000,2804.02
2489,1245000,2916.88
2499,1250000,2701.52
2509,1255000,2916.46
2519,1260000,2872.0
2529,1265000,3035.78
2539,1270000,2836.12
2549,1275000,2951.11
2559,1280000,2972.82
2569,1285000,2860.63
2579,1290000,2933.25
2589,1295000,2841.48
2599,1300000,2802.3
2609,1305000,3050.6
2619,1310000,3062.34
2629,1315000,3025.16
2639,1320000,3031.86
2649,1325000,2902.91
2659,1330000,2944.22
2669,1335000,2858.58
2679,1340000,2558.26
2689,1345000,2739.62
2699,1350000,2631.16
2709,1355000,2753.66
2719,1360000,2668.76
2729,1365000,2773.25
2739,1370000,2796.24
2749,1375000,2954.06
2759,1380000,2776.8
2769,1385000,2908.44
2779,1390000,2989.14
2789,1395000,2916.51
2799,1400000,2895.6
2809,1405000,3000.42
2819,1410000,2834.77
2829,1415000,2746.08
2839,1420000,2801.48
2849,1425000,2505.54
2859,1430000,2538.6
2869,1435000,2677.18
2879,1440000,2826.68
2889,1445000,2493.18
2899,1450000,2826.85
2909,1455000,2913.44
2919,1460000,2845.48
2929,1465000,2869.91
2939,1470000,2838.3
2949,1475000,2841.85
2959,1480000,2744.91
2969,1485000,2878.02
2979,1490000,2796.68
2989,1495000,2763.22
3009,1505000,2987.97
3019,1510000,3056.54
3029,1515000,2831.54
3039,1520000,3134.81
3049,1525000,3150.32
3059,1530000,3075.9
3069,1535000,3063.11
3079,1540000,3008.31
3089,1545000,3087.92
3099,1550000,2909.42
3109,1555000,2872.82
3119,1560000,2994.79
3129,1565000,2944.86
3139,1570000,3055.64
3149,1575000,3085.18
3159,1580000,2926.67
3169,1585000,2988.02
3179,1590000,3065.58
3189,1595000,3041.32
3199,1600000,3057.32
3209,1605000,2843.27
3219,1610000,2890.81
3229,1615000,2945.51
3239,1620000,2995.48
3249,1625000,2962.28
3259,1630000,3032.03
3269,1635000,2921.11
3279,1640000,3001.25
3289,1645000,3036.35
3299,1650000,2905.84
3309,1655000,3034.15
3319,1660000,2898.21
3329,1665000,2968.0
3339,1670000,3062.72
3349,1675000,3067.55
3359,1680000,3027.6
3369,1685000,3013.84
3379,1690000,3069.98
3389,1695000,2954.66
